Team1,Team2,Winner,Margin,Ground,Date,Scorecard
Italy,Jersey,Jersey,8 wickets,Almeria,"Oct 20, 2021",T20I # 1325
Malawi,Seychelles,Malawi,21 runs,Rwanda,"Oct 20, 2021",T20I # 1323
Ghana,Swaziland,Ghana,7 wickets,Kigali,"Oct 20, 2021",T20I # 1324
Oman,Bangladesh,Bangladesh,26 runs,Al Amerat,"Oct 19, 2021",T20I # 1322
Germany,Jersey,Jersey,4 wickets,Almeria,"Oct 19, 2021",T20I # 1321
Rwanda,Seychelles,Rwanda,78 runs,Rwanda,"Oct 19, 2021",T20I # 1319
Swaziland,Uganda,Uganda,6 wickets,Kigali,"Oct 19, 2021",T20I # 1320
P.N.G.,Scotland,Scotland,17 runs,Al Amerat,"Oct 19, 2021",T20I # 1318
Nigeria,Sierra Leone,Sierra Leone,6 wickets,Lagos,"Oct 19, 2021",T20I # 1317
Denmark,Italy,Italy,9 runs,Almeria,"Oct 19, 2021",T20I # 1316
Ghana,Malawi,Ghana,7 wickets,Rwanda,"Oct 19, 2021",T20I # 1314
Lesotho,Uganda,Uganda,10 wickets,Kigali,"Oct 19, 2021",T20I # 1315
Namibia,Sri Lanka,Sri Lanka,7 wickets,Abu Dhabi,"Oct 18, 2021",T20I # 1313
Ireland,Netherlands,Ireland,7 wickets,Abu Dhabi,"Oct 18, 2021",T20I # 1312
Bangladesh,Scotland,Scotland,6 runs,Al Amerat,"Oct 17, 2021",T20I # 1311
Germany,Italy,Germany,4 wickets,Almeria,"Oct 17, 2021",T20I # 1310
Ghana,Lesotho,Ghana,116 runs,Rwanda,"Oct 17, 2021",T20I # 1308
Rwanda,Uganda,Uganda,106 runs,Kigali,"Oct 17, 2021",T20I # 1309
Oman,P.N.G.,Oman,10 wickets,Al Amerat,"Oct 17, 2021",T20I # 1307
Denmark,Jersey,Jersey,5 runs,Almeria,"Oct 17, 2021",T20I # 1306
Lesotho,Seychelles,Seychelles,6 wickets,Rwanda,"Oct 17, 2021",T20I # 1304
Malawi,Swaziland,Malawi,8 wickets,Kigali,"Oct 17, 2021",T20I # 1305
Italy,Jersey,Jersey,41 runs,Almeria,"Oct 16, 2021",T20I # 1303
Ghana,Seychelles,Ghana,9 wickets,Rwanda,"Oct 16, 2021",T20I # 1301
Malawi,Uganda,Uganda,10 wickets,Kigali,"Oct 16, 2021",T20I # 1302
Denmark,Germany,Germany,6 wickets,Almeria,"Oct 16, 2021",T20I # 1300
Rwanda,Ghana,Ghana,5 wickets,Rwanda,"Oct 16, 2021",T20I # 1298
Lesotho,Swaziland,Swaziland,54 runs,Kigali,"Oct 16, 2021",T20I # 1299
Denmark,Italy,Italy,6 wickets,Almeria,"Oct 15, 2021",T20I # 1297
Germany,Jersey,Jersey,4 runs,Almeria,"Oct 15, 2021",T20I # 1296
Namibia,P.N.G.,Namibia,14 runs,ICCA Dubai,"Oct 10, 2021",T20I # 1295
U.A.E.,Ireland,U.A.E.,7 wickets,ICCA Dubai,"Oct 10, 2021",T20I # 1294
Namibia,Scotland,Namibia,5 wickets,ICCA Dubai,"Oct 9, 2021",T20I # 1293
Estonia,Isle of Man,Isle of Man,8 wickets,Episkopi,"Oct 8, 2021",T20I # 1292
P.N.G.,Scotland,Scotland,8 wickets,ICCA Dubai,"Oct 8, 2021",T20I # 1291
Cyprus,Estonia,Cyprus,39 runs,Episkopi,"Oct 8, 2021",T20I # 1290
U.A.E.,Ireland,U.A.E.,54 runs,ICCA Dubai,"Oct 8, 2021",T20I # 1289
Cyprus,Estonia,Cyprus,79 runs,Episkopi,"Oct 7, 2021",T20I # 1288
Cyprus,Isle of Man,Isle of Man,3 wickets,Episkopi,"Oct 7, 2021",T20I # 1287
U.A.E.,Ireland,Ireland,7 wickets,ICCA Dubai,"Oct 7, 2021",T20I # 1286
Estonia,Isle of Man,Isle of Man,6 wickets,Episkopi,"Oct 6, 2021",T20I # 1285
Cyprus,Isle of Man,Isle of Man,8 wickets,Episkopi,"Oct 6, 2021",T20I # 1284
Cyprus,Estonia,Cyprus,8 wickets,Episkopi,"Oct 5, 2021",T20I # 1283
Cyprus,Estonia,Cyprus,4 wickets,Episkopi,"Oct 5, 2021",T20I # 1282
U.A.E.,Namibia,Namibia,17 runs,ICCA Dubai,"Oct 5, 2021",T20I # 1281
Scotland,Zimbabwe,Zimbabwe,6 wickets,Edinburgh,"Sep 19, 2021",T20I # 1280
Scotland,Zimbabwe,Zimbabwe,10 runs,Edinburgh,"Sep 17, 2021",T20I # 1279
Uganda,Kenya,Uganda,6 runs,Entebbe,"Sep 17, 2021",T20I # 1278
Kenya,Nigeria,Nigeria,4 runs,Entebbe,"Sep 16, 2021",T20I # 1277
Scotland,Zimbabwe,Scotland,7 runs,Edinburgh,"Sep 15, 2021",T20I # 1276
Uganda,Nigeria,Uganda,55 runs,Entebbe,"Sep 15, 2021",T20I # 1275
Uganda,Kenya,Uganda,4 wickets,Entebbe,"Sep 15, 2021",T20I # 1274
Sri Lanka,South Africa,South Africa,10 wickets,Colombo (RPS),"Sep 14, 2021",T20I # 1273
Kenya,Nigeria,Kenya,61 runs,Entebbe,"Sep 13, 2021",T20I # 1272
Uganda,Nigeria,Uganda,8 wickets,Entebbe,"Sep 13, 2021",T20I # 1271
Sri Lanka,South Africa,South Africa,9 wickets,Colombo (RPS),"Sep 12, 2021",T20I # 1270
Spain,Germany,Spain,1 wicket,Almeria,"Sep 11, 2021",T20I # 1269
Uganda,Nigeria,Uganda,56 runs,Entebbe,"Sep 11, 2021",T20I # 1268
Spain,Germany,Spain,5 wickets,Almeria,"Sep 11, 2021",T20I # 1267
Kenya,Nigeria,Kenya,8 wickets,Entebbe,"Sep 11, 2021",T20I # 1266
Sri Lanka,South Africa,South Africa,28 runs,Colombo (RPS),"Sep 10, 2021",T20I # 1265
Uganda,Kenya,Kenya,22 runs,Entebbe,"Sep 10, 2021",T20I # 1264
Bangladesh,New Zealand,New Zealand,27 runs,Mirpur,"Sep 10, 2021",T20I # 1263
Spain,Germany,Germany,7 wickets,Almeria,"Sep 10, 2021",T20I # 1262
Uganda,Kenya,no result,-,Entebbe,"Sep 10, 2021",T20I # 1261
Bangladesh,New Zealand,Bangladesh,6 wickets,Mirpur,"Sep 8, 2021",T20I # 1260
Bangladesh,New Zealand,New Zealand,52 runs,Mirpur,"Sep 5, 2021",T20I # 1258
Hungary,Malta,Hungary,8 wickets,Ilfov County,"Sep 5, 2021",T20I # 1259
Romania,Luxembourg,Romania,33 runs,Ilfov County,"Sep 5, 2021",T20I # 1257
Ireland,Zimbabwe,Zimbabwe,5 runs,Bready,"Sep 4, 2021",T20I # 1256
Romania,Malta,Romania,36 runs,Ilfov County,"Sep 4, 2021",T20I # 1255
Hungary,Luxembourg,Luxembourg,2 runs,Ilfov County,"Sep 4, 2021",T20I # 1254
Bulgaria,Czech Rep.,Czech Rep.,7 wickets,Ilfov County,"Sep 4, 2021",T20I # 1253
Romania,Hungary,Romania,8 runs,Ilfov County,"Sep 3, 2021",T20I # 1252
Bangladesh,New Zealand,Bangladesh,4 runs,Mirpur,"Sep 3, 2021",T20I # 1251
Bulgaria,Malta,Malta,7 wickets,Ilfov County,"Sep 3, 2021",T20I # 1250
Romania,Czech Rep.,Romania,35 runs,Ilfov County,"Sep 3, 2021",T20I # 1249
Ireland,Zimbabwe,Ireland,64 runs,Bready,"Sep 2, 2021",T20I # 1248
Luxembourg,Malta,Luxembourg,4 wickets,Ilfov County,"Sep 2, 2021",T20I # 1247
Czech Rep.,Hungary,Hungary,5 runs,Ilfov County,"Sep 2, 2021",T20I # 1246
Bulgaria,Luxembourg,Luxembourg,62 runs,Ilfov County,"Sep 2, 2021",T20I # 1245
Ireland,Zimbabwe,Ireland,40 runs,Bready,"Sep 1, 2021",T20I # 1244
Bangladesh,New Zealand,Bangladesh,7 wickets,Mirpur,"Sep 1, 2021",T20I # 1243
Ireland,Zimbabwe,Ireland,7 wickets,Dublin,"Aug 29, 2021",T20I # 1242
Ireland,Zimbabwe,Zimbabwe,3 runs,Dublin,"Aug 27, 2021",T20I # 1241
Portugal,Malta,Portugal,3 wickets,Albergaria,"Aug 22, 2021",T20I # 1240
Finland,Sweden,Sweden,6 wickets,Kerava,"Aug 22, 2021",T20I # 1239
Portugal,Gibraltar,Portugal,110 runs,Albergaria,"Aug 22, 2021",T20I # 1238
Finland,Sweden,Sweden,3 wickets,Kerava,"Aug 22, 2021",T20I # 1237
Gibraltar,Malta,Malta,4 runs,Albergaria,"Aug 21, 2021",T20I # 1236
Finland,Sweden,Finland,4 wickets,Kerava,"Aug 21, 2021",T20I # 1235
Rwanda,Ghana,Ghana,7 wickets,Rwanda,"Aug 21, 2021",T20I # 1234
Portugal,Gibraltar,Portugal,96 runs,Albergaria,"Aug 21, 2021",T20I # 1233
Finland,Sweden,Finland,4 wickets,Kerava,"Aug 21, 2021",T20I # 1232
Rwanda,Ghana,Ghana,-,Rwanda,"Aug 20, 2021",T20I # 1231
Gibraltar,Malta,Malta,8 wickets,Albergaria,"Aug 20, 2021",T20I # 1230
Rwanda,Ghana,Rwanda,57 runs,Rwanda,"Aug 20, 2021",T20I # 1229
Portugal,Malta,Portugal,6 wickets,Albergaria,"Aug 19, 2021",T20I # 1228
Rwanda,Ghana,Ghana,2 wickets,Rwanda,"Aug 18, 2021",T20I # 1227
Rwanda,Ghana,Rwanda,1 wicket,Rwanda,"Aug 18, 2021",T20I # 1226
Denmark,Sweden,Denmark,6 wickets,Brondby,"Aug 15, 2021",T20I # 1225
Denmark,Sweden,Sweden,3 wickets,Brondby,"Aug 14, 2021",T20I # 1224
Denmark,Sweden,Denmark,8 runs,Brondby,"Aug 14, 2021",T20I # 1223
Bangladesh,Australia,Bangladesh,60 runs,Mirpur,"Aug 9, 2021",T20I # 1222
Germany,Norway,Germany,6 wickets,Krefeld,"Aug 8, 2021",T20I # 1221
Germany,Norway,Norway,51 runs,Krefeld,"Aug 8, 2021",T20I # 1220
France,Norway,Norway,3 runs,Krefeld,"Aug 7, 2021",T20I # 1219
Bangladesh,Australia,Australia,3 wickets,Mirpur,"Aug 7, 2021",T20I # 1218
Germany,France,Germany,48 runs,Krefeld,"Aug 7, 2021",T20I # 1217
Bangladesh,Australia,Bangladesh,10 runs,Mirpur,"Aug 6, 2021",T20I # 1216
Germany,France,Germany,2 wickets,Krefeld,"Aug 6, 2021",T20I # 1215
France,Norway,France,4 wickets,Krefeld,"Aug 5, 2021",T20I # 1214
Germany,Norway,Germany,5 wickets,Krefeld,"Aug 5, 2021",T20I # 1213
Bangladesh,Australia,Bangladesh,5 wickets,Mirpur,"Aug 4, 2021",T20I # 1212
West Indies,Pakistan,no result,-,Providence,"Aug 3, 2021",T20I # 1211
Bangladesh,Australia,Bangladesh,23 runs,Mirpur,"Aug 3, 2021",T20I # 1210
West Indies,Pakistan,no result,-,Providence,"Aug 1, 2021",T20I # 1209
West Indies,Pakistan,Pakistan,7 runs,Providence,"Jul 31, 2021",T20I # 1208
Sri Lanka,India,Sri Lanka,7 wickets,Colombo (RPS),"Jul 29, 2021",T20I # 1207
Sri Lanka,India,Sri Lanka,4 wickets,Colombo (RPS),"Jul 28, 2021",T20I # 1206
West Indies,Pakistan,no result,-,Bridgetown,"Jul 28, 2021",T20I # 1205
Sri Lanka,India,India,38 runs,Colombo (RPS),"Jul 25, 2021",T20I # 1204
Zimbabwe,Bangladesh,Bangladesh,5 wickets,Harare,"Jul 25, 2021",T20I # 1203
Belgium,Austria,Austria,6 wickets,Waterloo,"Jul 25, 2021",T20I # 1202
Ireland,South Africa,South Africa,49 runs,Belfast,"Jul 24, 2021",T20I # 1201
Belgium,Austria,Belgium,12 runs,Waterloo,"Jul 24, 2021",T20I # 1200
Belgium,Austria,Belgium,7 wickets,Waterloo,"Jul 24, 2021",T20I # 1199
Zimbabwe,Bangladesh,Zimbabwe,23 runs,Harare,"Jul 23, 2021",T20I # 1198
Ireland,South Africa,South Africa,42 runs,Belfast,"Jul 22, 2021",T20I # 1197
Zimbabwe,Bangladesh,Bangladesh,8 wickets,Harare,"Jul 22, 2021",T20I # 1196
England,Pakistan,England,3 wickets,Manchester,"Jul 20, 2021",T20I # 1195
Ireland,South Africa,South Africa,33 runs,Dublin (Malahide),"Jul 19, 2021",T20I # 1194
England,Pakistan,England,45 runs,Leeds,"Jul 18, 2021",T20I # 1193
West Indies,Australia,West Indies,16 runs,Gros Islet,"Jul 16, 2021",T20I # 1192
England,Pakistan,Pakistan,31 runs,Nottingham,"Jul 16, 2021",T20I # 1191
West Indies,Australia,Australia,4 runs,Gros Islet,"Jul 14, 2021",T20I # 1190
West Indies,Australia,West Indies,6 wickets,Gros Islet,"Jul 12, 2021",T20I # 1189
West Indies,Australia,West Indies,56 runs,Gros Islet,"Jul 10, 2021",T20I # 1188
Malta,Belgium,Belgium,39 runs,Marsa,"Jul 10, 2021",T20I # 1187
Malta,Belgium,Malta,-,Marsa,"Jul 10, 2021",T20I # 1186
West Indies,Australia,West Indies,18 runs,Gros Islet,"Jul 9, 2021",T20I # 1185
Malta,Belgium,Belgium,4 wickets,Marsa,"Jul 9, 2021",T20I # 1184
Malta,Belgium,Belgium,10 wickets,Marsa,"Jul 8, 2021",T20I # 1183
Malta,Belgium,Malta,6 wickets,Marsa,"Jul 8, 2021",T20I # 1182
West Indies,South Africa,South Africa,25 runs,St George's,"Jul 3, 2021",T20I # 1181
West Indies,South Africa,West Indies,21 runs,St George's,"Jul 1, 2021",T20I # 1180
West Indies,South Africa,South Africa,1 run,St George's,"Jun 29, 2021",T20I # 1179
West Indies,South Africa,South Africa,16 runs,St George's,"Jun 27, 2021",T20I # 1178
Bulgaria,Romania,Romania,7 wickets,Sofia,"Jun 27, 2021",T20I # 1177
West Indies,South Africa,West Indies,8 wickets,St George's,"Jun 26, 2021",T20I # 1176
Bulgaria,Greece,no result,-,Sofia,"Jun 26, 2021",T20I # 1175
England,Sri Lanka,England,89 runs,Southampton,"Jun 26, 2021",T20I # 1174
Romania,Serbia,Romania,10 wickets,Sofia,"Jun 26, 2021",T20I # 1173
Bulgaria,Greece,Bulgaria,64 runs,Sofia,"Jun 26, 2021",T20I # 1172
Romania,Serbia,Romania,91 runs,Sofia,"Jun 25, 2021",T20I # 1171
Bulgaria,Romania,Romania,7 wickets,Sofia,"Jun 25, 2021",T20I # 1170
Greece,Serbia,Greece,5 wickets,Sofia,"Jun 25, 2021",T20I # 1169
England,Sri Lanka,England,5 wickets,Cardiff,"Jun 24, 2021",T20I # 1168
Greece,Romania,Romania,3 wickets,Sofia,"Jun 24, 2021",T20I # 1167
Bulgaria,Serbia,Bulgaria,61 runs,Sofia,"Jun 24, 2021",T20I # 1166
England,Sri Lanka,England,8 wickets,Cardiff,"Jun 23, 2021",T20I # 1165
Czech Rep.,Austria,Austria,4 wickets,Vinor,"May 23, 2021",T20I # 1164
Austria,Luxembourg,Luxembourg,5 wickets,Vinor,"May 23, 2021",T20I # 1163
Czech Rep.,Luxembourg,Luxembourg,6 wickets,Vinor,"May 22, 2021",T20I # 1162
Czech Rep.,Austria,Austria,78 runs,Vinor,"May 22, 2021",T20I # 1161
Austria,Luxembourg,Austria,5 runs,Vinor,"May 21, 2021",T20I # 1160
Czech Rep.,Luxembourg,Czech Rep.,9 wickets,Vinor,"May 21, 2021",T20I # 1159
Zimbabwe,Pakistan,Pakistan,24 runs,Harare,"Apr 25, 2021",T20I # 1158
Nepal,Netherlands,Nepal,142 runs,Kirtipur,"Apr 24, 2021",T20I # 1157
Zimbabwe,Pakistan,Zimbabwe,19 runs,Harare,"Apr 23, 2021",T20I # 1156
Nepal,Malaysia,Nepal,69 runs,Kirtipur,"Apr 22, 2021",T20I # 1155
Zimbabwe,Pakistan,Pakistan,11 runs,Harare,"Apr 21, 2021",T20I # 1154
Malaysia,Netherlands,tied,-,Kirtipur,"Apr 21, 2021",T20I # 1153
Nepal,Netherlands,Netherlands,3 wickets,Kirtipur,"Apr 20, 2021",T20I # 1152
Nepal,Malaysia,Nepal,9 wickets,Kirtipur,"Apr 19, 2021",T20I # 1151
Malaysia,Netherlands,Netherlands,15 runs,Kirtipur,"Apr 18, 2021",T20I # 1150
Nepal,Netherlands,Nepal,9 wickets,Kirtipur,"Apr 17, 2021",T20I # 1149
South Africa,Pakistan,Pakistan,3 wickets,Centurion,"Apr 16, 2021",T20I # 1148
South Africa,Pakistan,Pakistan,9 wickets,Centurion,"Apr 14, 2021",T20I # 1147
South Africa,Pakistan,South Africa,6 wickets,Johannesburg,"Apr 12, 2021",T20I # 1146
South Africa,Pakistan,Pakistan,4 wickets,Johannesburg,"Apr 10, 2021",T20I # 1145
Namibia,Uganda,Namibia,65 runs,Windhoek,"Apr 5, 2021",T20I # 1144
Namibia,Uganda,Namibia,20 runs,Windhoek,"Apr 5, 2021",T20I # 1143
Namibia,Uganda,Namibia,7 wickets,Windhoek,"Apr 3, 2021",T20I # 1142
New Zealand,Bangladesh,New Zealand,65 runs,Auckland,"Apr 1, 2021",T20I # 1141
New Zealand,Bangladesh,New Zealand,28 runs,Napier,"Mar 30, 2021",T20I # 1140
New Zealand,Bangladesh,New Zealand,66 runs,Hamilton,"Mar 28, 2021",T20I # 1139
India,England,India,36 runs,Ahmedabad,"Mar 20, 2021",T20I # 1138
Afghanistan,Zimbabwe,Afghanistan,47 runs,Abu Dhabi,"Mar 20, 2021",T20I # 1137
Afghanistan,Zimbabwe,Afghanistan,45 runs,Abu Dhabi,"Mar 19, 2021",T20I # 1136
India,England,India,8 runs,Ahmedabad,"Mar 18, 2021",T20I # 1135
Afghanistan,Zimbabwe,Afghanistan,48 runs,Abu Dhabi,"Mar 17, 2021",T20I # 1134
India,England,England,8 wickets,Ahmedabad,"Mar 16, 2021",T20I # 1133
India,England,India,7 wickets,Ahmedabad,"Mar 14, 2021",T20I # 1132
India,England,England,8 wickets,Ahmedabad,"Mar 12, 2021",T20I # 1131
West Indies,Sri Lanka,West Indies,3 wickets,Coolidge,"Mar 7, 2021",T20I # 1130
New Zealand,Australia,New Zealand,7 wickets,Wellington,"Mar 7, 2021",T20I # 1129
West Indies,Sri Lanka,Sri Lanka,43 runs,Coolidge,"Mar 5, 2021",T20I # 1128
New Zealand,Australia,Australia,50 runs,Wellington,"Mar 5, 2021",T20I # 1127
West Indies,Sri Lanka,West Indies,4 wickets,Coolidge,"Mar 3, 2021",T20I # 1126
New Zealand,Australia,Australia,64 runs,Wellington,"Mar 3, 2021",T20I # 1125
New Zealand,Australia,New Zealand,4 runs,Dunedin,"Feb 25, 2021",T20I # 1124
New Zealand,Australia,New Zealand,53 runs,Christchurch,"Feb 22, 2021",T20I # 1123
Pakistan,South Africa,Pakistan,4 wickets,Lahore,"Feb 14, 2021",T20I # 1122
Pakistan,South Africa,South Africa,6 wickets,Lahore,"Feb 13, 2021",T20I # 1121
Pakistan,South Africa,Pakistan,3 runs,Lahore,"Feb 11, 2021",T20I # 1120
Tanzania,Uganda,no result,-,Rwanda,"Dec 23, 2022",T20I # 1983
Rwanda,Uganda,Uganda,3 runs,Rwanda,"Dec 23, 2022",T20I # 1982
Malaysia,Bahrain,Bahrain,6 wickets,Bangi,"Dec 23, 2022",T20I # 1981
Qatar,Singapore,Qatar,9 wickets,Bangi,"Dec 23, 2022",T20I # 1980
Tanzania,Uganda,Uganda,7 runs,Rwanda,"Dec 22, 2022",T20I # 1979
Rwanda,Tanzania,Tanzania,28 runs,Rwanda,"Dec 22, 2022",T20I # 1978
Bahrain,Qatar,no result,-,Bangi,"Dec 22, 2022",T20I # 1977
Malaysia,Singapore,Malaysia,143 runs,Bangi,"Dec 22, 2022",T20I # 1976
Malaysia,Qatar,no result,-,Bangi,"Dec 21, 2022",T20I # 1975
Bahrain,Singapore,Bahrain,6 wickets,Bangi,"Dec 21, 2022",T20I # 1974
Rwanda,Uganda,Uganda,7 wickets,Rwanda,"Dec 20, 2022",T20I # 1973
Rwanda,Tanzania,Tanzania,31 runs,Rwanda,"Dec 20, 2022",T20I # 1972
Rwanda,Uganda,Uganda,9 wickets,Rwanda,"Dec 19, 2022",T20I # 1971
Tanzania,Uganda,Tanzania,5 wickets,Rwanda,"Dec 19, 2022",T20I # 1970
Malaysia,Bahrain,Malaysia,7 wickets,Bangi,"Dec 19, 2022",T20I # 1969
Qatar,Singapore,Qatar,8 wickets,Bangi,"Dec 19, 2022",T20I # 1968
Rwanda,Tanzania,Tanzania,6 wickets,Rwanda,"Dec 18, 2022",T20I # 1967
Tanzania,Uganda,Uganda,2 runs,Rwanda,"Dec 18, 2022",T20I # 1966
Malaysia,Singapore,Malaysia,120 runs,Bangi,"Dec 18, 2022",T20I # 1965
Bahrain,Qatar,Bahrain,13 runs,Bangi,"Dec 18, 2022",T20I # 1964
Rwanda,Tanzania,Rwanda,1 run,Rwanda,"Dec 16, 2022",T20I # 1963
Rwanda,Uganda,Uganda,97 runs,Rwanda,"Dec 16, 2022",T20I # 1962
Bahrain,Singapore,tied,-,Bangi,"Dec 16, 2022",T20I # 1961
Malaysia,Qatar,Malaysia,8 wickets,Bangi,"Dec 16, 2022",T20I # 1960
Tanzania,Uganda,Uganda,13 runs,Rwanda,"Dec 15, 2022",T20I # 1959
Rwanda,Uganda,Uganda,133 runs,Rwanda,"Dec 15, 2022",T20I # 1958
Qatar,Singapore,Qatar,5 wickets,Bangi,"Dec 15, 2022",T20I # 1957
Malaysia,Bahrain,Malaysia,11 runs,Bangi,"Dec 15, 2022",T20I # 1956
Tanzania,Uganda,no result,-,Rwanda,"Dec 14, 2022",T20I # 1955
Rwanda,Uganda,Uganda,85 runs,Rwanda,"Dec 14, 2022",T20I # 1954
Rwanda,Tanzania,Tanzania,5 wickets,Rwanda,"Dec 13, 2022",T20I # 1953
Rwanda,Tanzania,Tanzania,66 runs,Rwanda,"Dec 13, 2022",T20I # 1952
Cameroon,Tanzania,Tanzania,184 runs,Kigali,"Dec 9, 2022",T20I # 1950
Ghana,Nigeria,Nigeria,6 wickets,Rwanda,"Dec 9, 2022",T20I # 1951
Cameroon,Gambia,Gambia,11 runs,Kigali,"Dec 9, 2022",T20I # 1948
Mozambique,Sierra Leone,Mozambique,5 wickets,Rwanda,"Dec 9, 2022",T20I # 1949
Gambia,Mozambique,Mozambique,40 runs,Kigali,"Dec 8, 2022",T20I # 1946
Nigeria,Tanzania,no result,-,Rwanda,"Dec 8, 2022",T20I # 1947
Cameroon,Eswatini,no result,-,Kigali,"Dec 8, 2022",T20I # 1944
Gambia,Ghana,Ghana,138 runs,Rwanda,"Dec 8, 2022",T20I # 1945
Cameroon,Ghana,Ghana,107 runs,Kigali,"Dec 6, 2022",T20I # 1942
Gambia,Tanzania,Tanzania,10 wickets,Rwanda,"Dec 6, 2022",T20I # 1943
Gambia,Sierra Leone,Sierra Leone,8 wickets,Kigali,"Dec 6, 2022",T20I # 1940
Eswatini,Tanzania,Tanzania,66 runs,Rwanda,"Dec 6, 2022",T20I # 1941
Cameroon,Nigeria,Nigeria,17 runs,Rwanda,"Dec 5, 2022",T20I # 1938
Ghana,Sierra Leone,Sierra Leone,18 runs,Kigali,"Dec 5, 2022",T20I # 1939
Eswatini,Sierra Leone,Sierra Leone,4 runs,Kigali,"Dec 5, 2022",T20I # 1936
Mozambique,Tanzania,Tanzania,6 wickets,Rwanda,"Dec 5, 2022",T20I # 1937
Gambia,Nigeria,Nigeria,9 wickets,Kigali,"Dec 4, 2022",T20I # 1934
Ghana,Tanzania,Tanzania,4 wickets,Rwanda,"Dec 4, 2022",T20I # 1935
Cameroon,Mozambique,Mozambique,9 wickets,Rwanda,"Dec 4, 2022",T20I # 1932
Eswatini,Nigeria,Nigeria,118 runs,Kigali,"Dec 4, 2022",T20I # 1933
Cameroon,Sierra Leone,Sierra Leone,1 wicket,Rwanda,"Dec 2, 2022",T20I # 1930
Eswatini,Mozambique,Mozambique,9 wickets,Kigali,"Dec 2, 2022",T20I # 1931
Ghana,Mozambique,Mozambique,7 wickets,Kigali,"Dec 2, 2022",T20I # 1928
Nigeria,Sierra Leone,Nigeria,6 wickets,Rwanda,"Dec 2, 2022",T20I # 1929
Eswatini,Gambia,Eswatini,5 wickets,Kigali,"Dec 1, 2022",T20I # 1926
Mozambique,Nigeria,Nigeria,8 wickets,Rwanda,"Dec 1, 2022",T20I # 1927
Eswatini,Ghana,Ghana,25 runs,Kigali,"Dec 1, 2022",T20I # 1924
Sierra Leone,Tanzania,Tanzania,9 wickets,Rwanda,"Dec 1, 2022",T20I # 1925
Kenya,Seychelles,Kenya,7 wickets,Rwanda,"Nov 25, 2022",T20I # 1922
Rwanda,Lesotho,no result,-,Kigali,"Nov 25, 2022",T20I # 1923
Botswana,St Helena,Botswana,60 runs,Rwanda,"Nov 25, 2022",T20I # 1920
Lesotho,Malawi,Malawi,118 runs,Kigali,"Nov 25, 2022",T20I # 1921
Botswana,Kenya,Kenya,8 wickets,Rwanda,"Nov 24, 2022",T20I # 1918
Rwanda,Mali,Rwanda,10 wickets,Kigali,"Nov 24, 2022",T20I # 1919
Malawi,St Helena,Malawi,10 wickets,Rwanda,"Nov 24, 2022",T20I # 1916
Rwanda,Seychelles,Rwanda,75 runs,Kigali,"Nov 24, 2022",T20I # 1917
Malawi,Seychelles,no result,-,Rwanda,"Nov 22, 2022",T20I # 1914
Mali,St Helena,no result,-,Kigali,"Nov 22, 2022",T20I # 1915
Botswana,Mali,Botswana,5 wickets,Rwanda,"Nov 22, 2022",T20I # 1912
Lesotho,St Helena,St Helena,45 runs,Kigali,"Nov 22, 2022",T20I # 1913
New Zealand,India,tied,-,Napier,"Nov 22, 2022",T20I # 1911
Oman,Canada,Canada,8 wickets,Al Amerat,"Nov 21, 2022",T20I # 1910
Bahrain,Saudi Arabia,Saudi Arabia,32 runs,Al Amerat,"Nov 21, 2022",T20I # 1909
Rwanda,Malawi,Rwanda,41 runs,Rwanda,"Nov 21, 2022",T20I # 1907
Seychelles,St Helena,St Helena,2 runs,Kigali,"Nov 21, 2022",T20I # 1908
Kenya,Lesotho,Kenya,167 runs,Kigali,"Nov 21, 2022",T20I # 1905
Malawi,Mali,Malawi,74 runs,Rwanda,"Nov 21, 2022",T20I # 1906
Bahrain,Saudi Arabia,Saudi Arabia,9 wickets,Al Amerat,"Nov 20, 2022",T20I # 1904
Oman,Canada,Canada,3 wickets,Al Amerat,"Nov 20, 2022",T20I # 1903
Lesotho,Seychelles,Lesotho,7 wickets,Kigali,"Nov 20, 2022",T20I # 1901
Rwanda,Kenya,Kenya,9 wickets,Rwanda,"Nov 20, 2022",T20I # 1902
Botswana,Malawi,Malawi,4 wickets,Rwanda,"Nov 20, 2022",T20I # 1899
Kenya,Mali,Kenya,10 wickets,Kigali,"Nov 20, 2022",T20I # 1900
New Zealand,India,India,65 runs,Mount Maunganui,"Nov 20, 2022",T20I # 1898
Oman,Bahrain,Oman,106 runs,Al Amerat,"Nov 19, 2022",T20I # 1897
Canada,Saudi Arabia,Canada,45 runs,Al Amerat,"Nov 19, 2022",T20I # 1896
Kenya,Malawi,no result,-,Rwanda,"Nov 18, 2022",T20I # 1894
Mali,Seychelles,no result,-,Kigali,"Nov 18, 2022",T20I # 1895
Botswana,Lesotho,Botswana,10 wickets,Kigali,"Nov 18, 2022",T20I # 1892
Rwanda,St Helena,Rwanda,54 runs,Rwanda,"Nov 18, 2022",T20I # 1893
Bahrain,Canada,Bahrain,8 wickets,Al Amerat,"Nov 17, 2022",T20I # 1891
Oman,Saudi Arabia,Oman,7 wickets,Al Amerat,"Nov 17, 2022",T20I # 1890
Botswana,Seychelles,no result,-,Kigali,"Nov 17, 2022",T20I # 1888
Kenya,St Helena,no result,-,Rwanda,"Nov 17, 2022",T20I # 1889
